Record #,Field Office ,Allegation ,Date Case Opened,Year,Final Disposition
2479,NWK ,Criminal Conduct ,4/2/2007,2007,Verbal Counsel
2480,DAL ,Criminal Conduct ,4/2/2007,2007,Suspension - 1 Day
2481,WFO ,Victim Case ,4/2/2007,2007,No Further Action
2482,ORL ,Missed Mission ,4/2/2007,2007,Suspension - 1 Day
2483,ORl ,Loss of Equipment ,4/3/2007,2007,Letter of Counsel
2484,SEA ,Neglect of Duty ,4/3/2007,2007,Removal
2485,MSP ,Unprofessional Conduct ,4/4/2007,2007,Letter of Counsel
2486,CHI ,Criminal Arrest ,4/4/2007,2007,No Further Action
2487,CHI ,Missed Mission ,4/4/2007,2007,Suspension - 3 Day
2488,PHL ,Failure to Honor Just Debts ,4/4/2007,2007,Suspension - 2 Day
2489,DET ,Missed Mission ,4/5/2007,2007,Letter of Reprimand
2490,PHL ,Failure to Honor Just Debts ,4/5/2007,2007,Letter of Reprimand
2491,PHL ,Absent Without Leave ,4/6/2007,2007,Suspension - 2 Day
2492,NYC ,Loss of Equipment ,4/9/2007,2007,Letter of Counsel
2493,DEN ,"Fighting, Threatening, or Intimidating ",4/9/2007,2007,Resignation
2494,CHI ,Missed Mission ,4/9/2007,2007,Letter of Counsel
2495,MSP,Missed Mission ,4/9/2007,2007,Letter of Counsel
2496,ATL ,Loss of Equipment ,4/10/2007,2007,Letter of Counsel
2497,ATL ,Loss of Equipment ,4/10/2007,2007,Letter of Counsel
2498,NYC ,Unprofessional Conduct ,4/10/2007,2007,Removal
2499,HQ ,Miscellaneous ,4/10/2007,2007,No Further Action
2500,HOU ,Loss of Equipment ,4/10/2007,2007,Letter of Reprimand
2501,SEA ,Failure to Follow Instruction ,4/13/2007,2007,Removal
2502,CHI ,Criminal Arrest ,4/11/2007,2007,Suspension - 2 Day
2503,CHI ,Missed Mission ,4/16/2007,2007,Letter of Reprimand
2504,PHL ,Failure to Honor Just Debts ,4/16/2007,2007,Letter of Reprimand
2505,WFO ,Missed Mission ,4/16/2007,2007,Letter of Counsel
2506,WFO ,Failure to Follow Procedure ,4/16/2007,2007,Suspension - 3 Day
2507,WFO ,Missed Mission ,4/16/2007,2007,Letter of Counsel
2508,WFO ,Missed Mission ,4/16/2007,2007,Letter of Counsel
2509,CIN ,Missed Mission ,4/16/2007,2007,Letter of Counsel
2510,DAL ,Missed Mission ,4/16/2007,2007,Letter of Counsel
2511,PHL ,Loss of Equipment ,4/17/2007,2007,letter of Counsel
2512,DET ,Failure to Follow Procedure ,4/16/2007,2007,Letter of Counsel
2513,CIN ,Missed Mission ,4/17/2007,2007,Letter of Counsel
2514,PIT ,Criminal Conduct ,4/17/2007,2007,Letter of Counsel
2516,DAL ,Failure to Follow Procedure ,4/17/2007,2007,Letter of Counsel
2517,NYC ,Failure to Honor Just Debts ,4/18/2007,2007,Suspension - 2 Day
2518,CHI ,Missed Mission ,4/19/2007,2007,Letter of Reprimand
2519,CHI ,Missed Mission ,4/19/2007,2007,Letter of Counsel
2520,NYC ,Missed Mission ,4/18/2007,2007,Letter of Reprimand
2521,CLE ,Loss of Equipment ,4/20/2007,2007,Suspension - 2 Day
2522,NYC ,Miscellaneous ,4/20/2007,2007,No Further Action
2523,DAL ,Unprofessional Conduct ,4/19/2007,2007,Suspension - 2 Day
2524,LAS ,Loss of Equipment ,4/20/2007,2007,Letter of Counsel
2525,DAL ,Failure to Follow Procedure ,4/19/2007,2007,Letter of Counsel
2526,LAS ,Missed Mission ,4/23/2007,2007,Letter of Counsel
2528,LAX ,Falsification of Records ,4/23/2007,2007,Letter of Counsel
2529,CLT ,Loss of Equipment ,4/24/2007,2007,Letter of Reprimand
2530,NWK ,Loss of Equipment ,4/25/2007,2007,Letter of Reprimand
2531,DET ,Misuse of Government Travel Card ,4/26/2007,2007,Letter of Reprimand
2532,MIA ,Missed Mission ,4/26/2007,2007,Letter of Reprimand
2533,HOU ,Miscellaneous ,4/26/2007,2007,Verbal Counsel
2534,CLT ,Unprofessional Conduct ,4/27/2007,2007,Suspension - 3 Day
2535,NWK ,Absent Without Leave ,4/27/2007,2007,Suspension - 1 Day
2536,NWK ,Failure to Honor Just Debts ,4/30/2007,2007,Suspension - 3 Day
2537,CLT ,Missed Mission ,4/30/2007,2007,Letter of Reprimand
2538,PHL ,Failure to Follow Instruction ,4/30/2007,2007,Letter of Counsel
2539,HOU ,Missed Mission ,4/30/2007,2007,Letter of Counsel
2540,HOU ,Loss of Equipment ,5/1/2007,2007,Letter of Counsel
2541,DET ,Missed Mission ,5/2/2007,2007,Letter of Counsel
2542,CHI ,Loss of Equipment ,5/2/2007,2007,Letter of Counsel
2543,CHI ,Missed Mission ,5/2/2007,2007,Letter of Counsel
2544,NYC ,Loss of Equipment ,5/2/2007,2007,Letter of Counsel
2545,ATL ,Criminal Arrest ,5/2/2007,2007,No Further Action
2546,CIN ,Missed Mission ,5/2/2007,2007,Letter of Counsel
2547,SEA ,Unprofessional Conduct ,5/2/2007,2007,Letter of Reprimand
2548,SEA,Unprofessional Conduct ,5/2/2007,2007,Letter of Reprimand
2549,LAS ,Missed Mission ,5/3/2007,2007,Letter of Counsel
2550,CIN ,Failure to Follow Procedure ,5/3/2007,2007,No Further Action
2551,MIA ,Failure to Follow Procedure ,5/4/2007,2007,Letter of Counsel
2552,PHL ,Failure to Honor Just Debts ,5/4/2007,2007,Letter of Counsel
2553,NWK ,Loss of Equipment ,5/7/2007,2007,Suspension - 3 Day
2554,MIA ,Missed Mission ,5/7/2007,2007,Letter of Counsel
2555,HOU ,Unprofessional Conduct ,5/9/2007,2007,Suspension - 2 Day
2556,ORL ,Loss of Equipment ,5/8/2007,2007,Letter of Reprimand
2557,HOU ,Missed Mission ,5/8/2007,2007,Letter of Counsel
2558,PIT ,Failure to Honor Just Debts ,5/9/2007,2007,Letter of Counsel
2559,SEA ,Unprofessional Conduct ,5/10/2007,2007,Suspension - 14 Day
2560,DEN ,Loss of Equipment ,5/10/2007,2007,Letter of Counsel
2561,NYC ,Loss of Equipment ,5/10/2007,2007,Letter of Counsel
2562,ORL ,Miscellaneous ,5/11/2007,2007,No Further Action
2563,LAX ,Miscellaneous ,5/11/2007,2007,Suspension - 1 Day
2564,WFO ,Loss of Equipment ,5/11/2007,2007,Letter of Counsel
2566,LAX ,Loss of Equipment ,5/15/2007,2007,Letter of Reprimand
2567,NYC ,Missed Mission ,5/15/2007,2007,Suspension - 1 Day
2568,CIN ,Unprofessional Conduct ,5/16/2007,2007,Letter of Counsel
2569,CIN ,Unprofessional Conduct ,5/16/2007,2007,Letter of Counsel
2570,CIN ,Missed Mission ,5/16/2007,2007,Letter of Reprimand
2571,DET ,Missed Mission ,5/18/2007,2007,Letter of Counsel
2572,HOU ,Missed Mission ,5/18/2007,2007,Letter of Reprimand
2573,LAX ,Loss of Equipment ,5/18/2007,2007,Letter of Counsel
2574,LAX ,Loss of Equipment ,5/18/2007,2007,Letter of Counsel
2575,ORL ,SSI/Classified Material Violation ,5/18/2007,2007,Resignation
2576,WFO ,Missed Mission ,5/22/2007,2007,Letter of Reprimand
2577,WFO ,Failure to Honor Just Debts ,5/22/2007,2007,Suspension - 14 Day
2578,WFO ,Missed Mission ,5/22/2007,2007,Suspension - 2 Day
2579,MIA ,Loss of Equipment ,5/22/2007,2007,Letter of Counsel
2580,LAX ,Missed Mission ,5/24/2007,2007,Suspension - 1 Day
2581,DEN ,Miscellaneous ,5/26/2007,2007,Letter of Counsel
2582,HOU ,Loss of Equipment ,5/30/2007,2007,Letter of Counsel
2583,CIN ,Making Misstatements/False ,5/30/2007,2007,No Further Action
2584,NYC ,Miscellaneous ,5/30/2007,2007,No Further Action
2585,CHI ,Victim Case ,6/1/2007,2007,No Further Action
2586,DAL ,Missed Mission ,6/1/2007,2007,Suspension - 1 Day
2587,DAL ,Missed Mission ,6/1/2007,2007,Letter of Counsel
2588,CHI ,Missed Mission ,6/1/2007,2007,Letter of Counsel
2589,CHI ,Missed Mission ,6/1/2007,2007,Letter of Counsel
2590,NWK ,Criminal Arrest ,6/1/2007,2007,Removal
2591,CLT ,Misuse of Government Travel Card ,6/4/2007,2007,Suspension - 5 Day
2592,MSP ,Sleeping on Duty ,6/5/2007,2007,Letter of Counsel
2593,BOS ,Unprofessional Conduct ,6/6/2007,2007,Resignation
2594,CHI ,Abuse of Position/Authority ,6/8/2007,2007,No Further Action
2595,SEA ,Falsification of Records ,6/8/2007,2007,Removal
2596,PHL ,Failure to Honor Just Debts ,6/8/2007,2007,Letter of Reprimand
2597,LAS ,Missed Mission ,6/11/2007,2007,Letter of Counsel
2598,CLT ,Failure to Honor Just Debts ,6/13/2007,2007,Suspension - 5 Day
2599,CHI ,Miscellaneous ,6/14/2007,2007,Retirement
2600,WFO ,Loss of Equipment ,6/14/2007,2007,Letter of Reprimand
2601,ORL ,Loss of Equipment ,6/14/2007,2007,Letter of Counsel
2602,WFO ,Missed Mission ,6/14/2007,2007,Letter of Counsel
2603,DEN ,Missed Mission ,6/14/2007,2007,Letter of Counsel
2604,SEA ,Loss of Equipment ,6/15/2007,2007,Letter of Reprimand
2605,NYC ,Missed Mission ,6/15/2007,2007,Letter of Reprimand
2606,PHL ,Loss of Equipment ,6/18/2007,2007,No Further Action
2607,ORL ,Making Misstatements/False ,6/18/2007,2007,Removal
2608,CLT ,Missed Mission ,6/18/2007,2007,Suspension - 14 Day
2609,WfO ,Loss of Equipment ,6/19/2007,2007,Letter of Counsel
2610,PIT ,Failure to Honor Just Debts ,6/19/2007,2007,Letter of Reprimand
2611,DEN ,Failure to Honor Just Debts ,6/19/2007,2007,Resignation
2612,WFO ,Loss of Equipment ,6/19/2007,2007,Letter of Counsel
2613,WFO ,Loss of Equipment ,6/19/2007,2007,Letter of Counsel
2614,ORL ,Miscellaneous ,6/18/2007,2007,No Further Action
2615,NYC ,Missed Mission ,6/20/2007,2007,Letter of Reprimand
2616,WFO ,Failure to Follow Procedure ,6/19/2007,2007,Suspension - 3 Day
2617,NYC ,Abuse of Position/Authority ,6/20/2007,2007,Suspension - 2 Day
2618,PHL ,Loss of Equipment ,6/20/2007,2007,Suspension - 7 Day
2619,DAL ,Loss of Equipment ,6/20/2007,2007,Letter of Reprimand
2620,CHI ,Failure to Follow Procedure ,6/20/2007,2007,Removal
2621,DAL ,Failure to Follow Procedure ,6/22/2007,2007,Suspension - 2 Day
2622,WFO ,Missed Mission ,6/22/2007,2007,Letter of Counsel
2623,DET ,Failure to Honor Just Debts ,6/22/2007,2007,Suspension - 5 Day
2624,CIN ,Criminal Arrest ,6/25/2007,2007,Suspension - 10 Day
2625,CHI ,Missed Mission ,6/25/2007,2007,Letter of Counsel
2626,CHI ,Missed Mission ,6/25/2007,2007,Letter of Counsel
2627,DEN ,Missed Mission ,6/26/2007,2007,Letter of Counsel
2628,PHL ,Loss of Equipment ,6/26/2007,2007,Letter of Counsel
2629,PHL ,Unprofessional Conduct ,6/26/2007,2007,Letter of Reprimand
2630,NYC ,Unprofessional Conduct ,6/26/2007,2007,Suspension - 3 Day
2631,DET ,Missed Mission ,6/27/2007,2007,Letter of Counsel
2632,WFO ,Missed Mission ,6/26/2007,2007,Resignation
2633,PIT ,Loss of Equipment ,6/26/2007,2007,Letter of Counsel
2634,CLT ,Failure to Honor Just Debts ,6/27/2007,2007,Suspension - 5 Day
2635,WFO ,Unexcused Tardiness ,6/27/2007,2007,Letter of Counsel
2636,NYC ,Missed Mission ,6/28/2007,2007,Letter of Reprimand
2637,ORL ,Criminal Arrest ,6/28/2007,2007,Resignation
2638,HOU ,Loss of Equipment ,6/29/2007,2007,Suspension - 3 Day
2639,HOU ,Loss of Equipment ,6/29/2007,2007,Letter of Counsel
2640,HQ ,Loss of Equipment ,7/2/2007,2007,Letter of Counsel
2641,SEA ,Missed Mission ,7/5/2007,2007,Suspension - 1 Day
2642,HOU ,Loss of Equipment ,7/5/2007,2007,Letter of Reprimand
2643,LAS ,Missed Mission ,7/5/2007,2007,Letter of Reprimand
2644,MIA ,Missed Mission ,7/3/2007,2007,Letter of Reprimand
2645,CLT ,Failure to Honor Just Debts ,7/5/2007,2007,Suspension - 14 Day
2646,CLE ,Loss of Equipment ,7/3/2007,2007,Letter of Counsel
2647,NYC ,Absent Without Leave ,7/6/2007,2007,Suspension - 1 Day
2648,NYC ,Failure to Follow Procedure ,7/6/2007,2007,Letter of Reprimand
2649,CHI ,Loss of Equipment ,7/9/2007,2007,Letter of Counsel
2650,ORL ,Missed Mission ,7/9/2007,2007,Suspension - 2 Day
2651,ATL ,Failure to Follow Procedure ,7/10/2007,2007,Resignation
2652,WFO ,Unprofessional Conduct ,7/10/2007,2007,Letter of Reprimand
2653,WFO ,Missed Mission ,7/10/2007,2007,Letter of Counsel
2654,WFO ,Loss of Equipment ,7/10/2007,2007,Letter of Counsel
2655,WFO ,Criminal Conduct ,7/10/2007,2007,Letter of Counsel
2656,HOU ,Unprofessional Conduct ,7/12/2007,2007,Letter of Counsel
2657,NYC ,Failure to Follow Procedure ,7/13/2007,2007,No Further Action
2658,WFO ,Misuse of Government Travel Card ,7/13/2007,2007,Letter of Reprimand
2659,DEN ,Absent Without Leave ,7/16/2007,2007,Letter of Reprimand
2660,LAS ,Missed Mission ,7/16/2007,2007,Letter of Counsel
2661,WFO ,Missed Mission ,7/16/2007,2007,Letter of Counsel
2662,NYC ,Failure to Honor Just Debts ,7/17/2007,2007,Letter of Reprimand
2663,PIT ,Loss of Equipment ,7/17/2007,2007,Letter of Counsel
2664,NYC ,Failure to Honor Just Debts ,7/17/2007,2007,Letter of Reprimand
2665,WFO ,Loss of Equipment ,7/17/2007,2007,Letter of Counsel
2666,NYC ,Missed Mission ,7/17/2007,2007,Letter of Reprimand
2667,WFO ,Missed Mission ,7/17/2007,2007,Letter of Counsel
2668,ATL ,SSI/Classified Material Violation ,7/18/2007,2007,Letter of Counsel
2669,ATL ,Failure to Honor Just Debts ,7/18/2007,2007,Removal
2670,DAL ,Missed Mission ,7/20/2007,2007,Letter of Reprimand
2671,DAL,Failure to Honor Just Debts ,7/20/2007,2007,Suspension - 2 Day
2672,CLT ,Loss of Equipment ,7/20/2007,2007,Letter of Counsel
2673,NYC ,Absent Without Leave ,7/20/2007,2007,Letter of Reprimand
2674,ORL ,Failure to Follow Instruction ,7/23/2007,2007,Suspension - 2 Day
2675,ORL ,Miscellaneous ,7/23/2007,2007,No Further Action
2676,CIN ,Failure to Follow Instruction ,7/24/2007,2007,Suspension - 2 Day
2677,WFO ,Loss of Equipment ,7/24/2007,2007,Letter of Counsel
2678,ORL ,Loss of Equipment ,7/24/2007,2007,Letter of Counsel
2679,LAS ,Failure to Follow Procedure ,7/25/2007,2007,Letter of Counsel
2680,PIT ,Criminal Conduct ,7/24/2007,2007,No Further Action
2681,PHL ,Loss of Equipment ,7/26/2007,2007,Suspension - 7 Day
2682,HQ ,Misuse of Government Vehicle ,7/27/2007,2007,Suspension - 3 Day
2683,HQ ,Making Misstatements/False ,7/27/2007,2007,Letter of Reprimand
2684,WFO ,Unprofessional Conduct ,7/27/2007,2007,Letter of Reprimand
2685,MSP ,Loss of Equipment ,7/27/2007,2007,Letter of Reprimand
2686,HQ ,Failure to Follow Procedure ,7/30/2007,2007,Letter of Counsel
2687,LAS ,Miscellaneous ,7/30/2007,2007,No Further Action
2688,CHI ,Unprofessional Conduct ,7/31/2007,2007,Verbal Counsel
2689,DET ,Missed Mission ,7/31/2007,2007,Letter of Counsel
2690,NYC ,Sleeping on Duty ,7/31/2007,2007,Suspension - 3 Day
2691,DAL ,Miscellaneous ,8/1/2007,2007,Resignation
2692,PIT ,Failure to Follow Procedure ,8/1/2007,2007,Letter of Reprimand
2693,CLT ,Loss of Equipment ,8/1/2007,2007,Letter of Reprimand
2694,CHI ,Sleeping on Duty ,8/2/2007,2007,Letter of Reprimand
2695,HOU ,Missed Mission ,8/2/2007,2007,Letter of Counsel
2696,HOU ,Loss of Equipment ,8/2/2007,2007,Letter of Reprimand
2697,HOU ,Unprofessional Conduct ,8/2/2007,2007,No Further Action
2698,CHI ,Unprofessional Conduct ,8/2/2007,2007,No Further Action
2699,PHL ,Failure to Honor Just Debts ,8/6/2007,2007,Verbal Counsel
2700,DAL ,Criminal Arrest ,8/6/2007,2007,Removal
2701,WFO ,Loss of Equipment ,8/7/2007,2007,Letter of Counsel
2702,CHI ,Loss of Equipment ,8/7/2007,2007,Letter of Reprimand
2703,PHL ,Loss of Equipment ,8/8/2007,2007,Letter of Counsel
2704,DAL ,Failure to Honor Just Debts ,8/7/2007,2007,Letter of Reprimand
2705,CIN ,Failure to Follow Procedure ,8/8/2007,2007,Letter of Counsel
2706,DAL ,Missed Mission ,8/9/2007,2007,Letter of Reprimand
2707,MIA ,Loss of Equipment ,8/9/2007,2007,Letter of Counsel
2708,SEA ,Missed Mission ,8/13/2007,2007,Letter of Reprimand
2709,LAS ,Loss of Equipment ,8/14/2007,2007,Suspension - 3 Day
2710,CIN ,Absent Without Leave ,8/14/2007,2007,Letter of Counsel
2711,HQ ,Miscellaneous ,8/14/2007,2007,No Further Action
2712,CHI ,Missed Mission ,8/15/2007,2007,Letter of Counsel
2713,CHI ,Missed Mission ,8/15/2007,2007,Letter of Counsel
2714,LAX ,Loss of Equipment ,8/15/2007,2007,Letter of Reprimand
2715,DAL ,Absent Without Leave ,8/15/2007,2007,Suspension - 14 Day
2716,NYC ,Missed Mission ,8/14/2007,2007,Resignation
2717,PHL ,Failure to Honor Just Debts ,8/16/2007,2007,Letter of Counsel
2718,LAS ,Unprofessional Conduct ,8/17/2007,2007,No Further Action
2719,WFO ,Missed Mission ,8/17/2007,2007,Letter of Counsel
2720,ATL ,Missed Mission ,8/20/2007,2007,Letter of Counsel
2721,ORL ,Failure to Honor Just Debts ,8/20/2007,2007,Letter of Reprimand
2722,CHI ,Missed Mission ,8/20/2007,2007,Letter of Counsel
2723,LAS ,Missed Mission ,8/20/2007,2007,Letter of Counsel
2724,NYC ,Loss of Equipment ,8/20/2007,2007,Letter of Reprimand
2725,NYC ,Loss of Equipment ,8/20/2007,2007,Letter of Reprimand
2726,WFO ,Misuse of Government Travel Card ,8/21/2007,2007,Removal
2727,ORL ,Falsification of Records ,8/21/2007,2007,Suspension - 7 Day
2728,CIN ,Hostile Work Environment ,8/21/2007,2007,No Further Action
2729,MIA ,Failure to Honor Just Debts ,8/23/2007,2007,Letter of Reprimand
2730,WFO ,Missed Mission ,8/23/2007,2007,Removal
2731,WFO ,Missed Mission ,8/23/2007,2007,Letter of Counsel
2732,WFO ,Missed Mission ,8/23/2007,2007,Letter of Counsel
2733,CLT ,Failure to Follow Procedure ,8/23/2007,2007,No Further Action
2734,LAS ,Missed Mission ,8/24/2007,2007,Letter of Counsel
2735,WFO ,Failure to Follow Procedure ,8/24/2007,2007,Letter of Reprimand
2736,LAX ,Missed Mission ,8/24/2007,2007,Letter of Counsel
2737,LAX ,Missed Mission ,8/28/2007,2007,Letter of Counsel
2738,LAS ,Failure to Follow Procedure ,8/28/2007,2007,Letter of Counsel
2739,LAX ,Failure to Honor Just Debts ,8/28/2007,2007,Suspension - 2 Day
2740,ORL ,Abuse of Position/Authority ,8/28/2007,2007,Suspension - 7 Day
2741,WFO ,Unprofessional Conduct ,8/28/2007,2007,Letter of Reprimand
2742,HOU ,Loss of Equipment ,8/28/2007,2007,No Further Action
2743,NWK ,Failure to Honor Just Debts ,8/28/2007,2007,Suspension - 3 Day
2744,CIN ,Unprofessional Conduct ,8/29/2007,2007,Letter of Reprimand
2745,PHL ,Failure to Honor Just Debts ,8/29/2007,2007,Letter of Counsel
2746,WFO ,Missed Mission ,8/30/2007,2007,Removal
2747,WFO ,Missed Mission ,8/30/2007,2007,Letter of Counsel
2748,LAS ,Unprofessional Conduct ,9/4/2007,2007,Letter of Counsel
2749,NYC ,Criminal Arrest ,9/4/2007,2007,Resignation
2750,PHL ,Absent Without Leave ,9/4/2007,2007,Letter of Counsel
2751,ORL ,Making Misstatements/False ,9/4/2007,2007,Resignation
2752,PHL ,Failure to Honor Just Debts ,9/4/2007,2007,Letter of Counsel
2753,ORL ,"Fighting, Threatening, or Intimidating ",9/4/2007,2007,Suspension - 7 Day
2754,WfO ,Failure to Honor Just Debts ,9/4/2007,2007,No Further Action
2755,DAL ,Loss of Equipment ,9/4/2007,2007,Letter of Counsel
2756,CLE ,Sick Leave Violation ,9/5/2007,2007,Removal
2757,SEA ,Misuse of Government Travel Card ,9/5/2007,2007,Suspension - 14 Day
2758,WFO ,Unprofessional Conduct ,9/5/2007,2007,Letter of Counsel
2759,HOU ,Loss of Equipment ,9/6/2007,2007,Letter of Counsel
2760,HOU ,Loss of Equipment ,9/6/2007,2007,Letter of Counsel
2761,LAS ,Loss of Equipment ,9/10/2007,2007,Suspension - 3 Day
2762,ATL ,Alcohol Policy Violation ,9/7/2007,2007,Letter of Counsel
2763,LAX ,Falsification of Records ,9/7/2007,2007,Suspension - 14 Day
2764,LAX ,Unprofessional Conduct ,9/7/2007,2007,Letter of Counsel
2765,CLT ,Missed Mission ,9/10/2007,2007,Letter of Counsel
2766,WFO ,Loss of Equipment ,9/11/2007,2007,Letter of Counsel
2767,ORL ,Absent Without Leave ,9/11/2007,2007,Letter of Reprimand
2768,CLE,Sick Leave Violation ,9/11/2007,2007,Suspension - 5 Day
2769,PHL ,Failure to Follow Procedure ,9/11/2007,2007,Resignation
2770,PIT ,Misuse of Government Travel Card ,9/12/2007,2007,Removal
2771,DAL ,Loss of Equipment ,9/11/2007,2007,Letter of Counsel
2772,SEA ,Neglect of Duty ,9/12/2007,2007,No Further Action
2773,SEA ,Neglect of Duty ,9/12/2007,2007,Suspension - 1 Day
2774,MIA ,Loss of Equipment ,9/13/2007,2007,Letter of Counsel
2775,NYC ,Loss of Equipment ,9/14/2007,2007,Letter of Reprimand
2776,WFO ,Criminal Arrest ,9/14/2007,2007,Removal
2777,PHL ,Loss of Equipment ,9/14/2007,2007,Letter of Counsel
2778,PHL ,Failure to Honor Just Debts ,9/14/2007,2007,Letter of Counsel
2779,MSP ,Loss of Equipment ,9/13/2007,2007,Letter of Counsel
2780,PHL ,Failure to Honor Just Debts ,9/17/2007,2007,Letter of Counsel
2781,PIT ,Loss of Equipment ,9/17/2007,2007,Letter of Counsel
2782,PHL ,Failure to Honor Just Debts ,9/17/2007,2007,Suspension - 4 Day
2783,CLE ,Failure to Follow Procedure ,9/17/2007,2007,Letter of Counsel
2784,CLE ,Failure to Follow Procedure ,9/17/2007,2007,Letter of Counsel
2785,CLE ,Unprofessional Conduct ,9/17/2007,2007,Suspension - 2 Day
2786,LAX ,Loss of Equipment ,9/19/2007,2007,Letter of Reprimand
2788,ATL ,Failure to Honor Just Debts ,9/19/2007,2007,Letter of Reprimand
2789,DAL ,Missed Mission ,9/19/2007,2007,Letter of Counsel
2790,LAX ,Missed Mission ,9/19/2007,2007,Letter of Counsel
2791,LAS ,Missed Mission ,9/20/2007,2007,Letter of Counsel
2792,NYC ,Loss of Equipment ,9/20/2007,2007,Letter of Reprimand
2793,HOU ,Criminal Arrest ,9/20/2007,2007,Suspension - 14 Day
2794,HQ ,Falsification of Records ,9/20/2007,2007,No Further Action
2795,SEA ,Unprofessional Conduct ,9/21/2007,2007,No Further Action
2796,LAX ,Loss of Equipment ,9/21/2007,2007,Letter of Counsel
2797,BOS ,Unprofessional Conduct ,9/24/2007,2007,No Further Action
2798,DET ,Missed Mission ,9/24/2007,2007,Letter of Counsel
2799,LAS ,Failure to Follow Procedure ,9/25/2007,2007,Letter of Reprimand
2800,NWK ,Failure to Follow Instruction ,9/26/2007,2007,Retirement
2801,PHL ,Failure to Honor Just Debts ,9/26/2007,2007,Letter of Counsel
2802,HQ ,Misuse of Government Travel Card ,9/27/2007,2007,Letter of Reprimand
2803,LAS ,Alcohol Policy Violation ,9/28/2007,2007,Letter of Counsel
2804,NYC ,Missed Mission ,9/28/2007,2007,Suspension - 1 Day
2805,ATL ,Unintentional Discharge of Firearm ,9/28/2007,2007,Suspension - 1 Day
2806,LAX ,Missed Mission ,10/1/2007,2007,Letter of Counsel
2807,SEA ,Loss of Equipment ,10/1/2007,2007,No Further Action
2808,PHL ,Loss of Equipment ,10/1/2007,2007,Letter of Counsel
2809,HQ ,Loss of Equipment ,10/1/2007,2007,Letter of Counsel
2810,LAS ,Loss of Equipment ,10/2/2007,2007,Letter of Reprimand
2811,WFO ,Missed Mission ,10/2/2007,2007,Letter of Counsel
2812,CLT ,Missed Mission ,10/2/2007,2007,Letter of Counsel
2813,WFO ,Making Misstatements/False ,10/1/2007,2007,Suspension - 14 Day
2814,CHI ,Missed Mission ,10/2/2007,2007,Letter of Counsel
2815,WFO ,Missed Mission ,10/2/2007,2007,Letter of Counsel
2816,CLT ,Unprofessional Conduct ,10/2/2007,2007,Removal
2817,NYC ,Missed Mission ,10/2/2007,2007,Suspension - 3 Day
2818,MSP ,Loss of Equipment ,10/3/2007,2007,Letter of Counsel
2819,LAX ,Making Misstatements/False ,10/3/2007,2007,No Further Action
2820,NWK ,Missed Mission ,10/4/2007,2007,Letter of Reprimand
2821,NWK ,Missed Mission ,10/4/2007,2007,Letter of Reprimand
2822,NYC ,Loss of Equipment ,10/4/2007,2007,Suspension - 1 Day
2823,HQ ,Sexual Harassment ,10/5/2007,2007,No Further Action
2824,NYC ,Missed Mission ,10/5/2007,2007,Letter of Reprimand
2825,ORL ,Loss of Equipment ,10/9/2007,2007,Letter of Reprimand
2826,ORL ,Loss of Equipment ,10/9/2007,2007,Letter of Counsel
2827,WFO ,Missed Mission ,10/9/2007,2007,Letter of Reprimand
2828,ATL ,Misuse of Government Travel Card ,10/10/2007,2007,Resignation
2829,SEA ,Loss of Equipment ,10/10/2007,2007,Verbal Counsel
2830,CHI ,Loss of Equipment ,10/15/2007,2007,Letter of Reprimand
2831,CHI ,Failure to Follow Procedure ,10/12/2007,2007,No Further Action
2832,LAX ,Missed Mission ,10/12/2007,2007,Letter of Counsel
2833,MSP ,Missed Mission ,10/15/2007,2007,Letter of Counsel
2834,PIT ,Loss of Equipment ,10/12/2007,2007,Verbal Counsel
2835,NYC ,Criminal Arrest ,10/15/2007,2007,No Further Action
2836,ORL ,Loss of Equipment ,10/15/2007,2007,Letter of Reprimand
2837,NYC ,Failure to Honor Just Debts ,10/15/2007,2007,Removal
2838,ATL ,Missed Mission ,10/15/2007,2007,Removal
2839,MIA ,Loss of Equipment ,10/15/2007,2007,Letter of Counsel
2840,MIA ,Sick leave Violation ,10/17/2007,2007,Suspension - 2 Day
2841,LAS ,Loss of Equipment ,10/17/2007,2007,Letter of Reprimand
2842,CIN ,Loss of Equipment ,10/17/2007,2007,Letter of Counsel
2843,NYC ,Loss of Equipment ,10/17/2007,2007,Letter of Reprimand
2844,WFO ,Missed Mission ,10/17/2007,2007,Removal
2845,HQ ,Loss of Equipment ,10/17/2007,2007,Verbal Counsel
2846,WFO ,Missed Mission ,10/18/2007,2007,Letter of Counsel
2847,WFO ,Missed Mission ,10/18/2007,2007,Letter of Counsel
2848,WFO ,Missed Mission ,10/18/2007,2007,Letter of Counsel
2849,DAL ,Hotel Compliance ,10/18/2007,2007,Letter of Reprimand
2850,CIN ,Misuse of Government Travel Card ,10/19/2007,2007,Suspension - 2 Day
2851,MIA ,Misuse of Government Travel Card ,10/19/2007,2007,Suspension - 2 Day
2852,WFO ,Failure to Follow Procedure ,10/19/2007,2007,Letter of Counsel
2853,WFO ,Failure to Follow Procedure ,10/19/2007,2007,Letter of Reprimand
2854,WFO ,Missed Mission ,10/19/2007,2007,Letter of Counsel
2855,NYC ,Loss of Equipment ,10/19/2007,2007,Letter of Reprimand
2857,MIA ,Making Misstatements/False ,10/24/2007,2007,Resignation
